url,is_qualified,first_ingestion_date,last_ingestion_date,last_content_update,is_to_ingest
https://benuri.org/content/feature/143/image_standalone2604/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/46-midnight-s-family-70-years-of-indian-artists-in-britain/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/1470-jacob-epstein-bust-of-jacob-kramer-1921/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/730/image5244/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/28/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/61-portraits-expressionist-and-surreal-becoming-gustav-metzger-uncovering-the-early-years-1945-59/,True,2024-07-16,2024-07-20,,True
https://benuri.org/about/legal-notice/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/172/cde51e37514858/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/143/image_standalone2079/,True,2024-07-16,2024-07-20,,True
https://benuri.org/essays-catalogues/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/59-jakub-krupa-s-talk-on-polish-migrants-in-britain-exhibition-focus/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/26/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/62/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/730/image5227/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/43-self-portraits-from-the-ben-uri-collection/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/67-a-survivor-relives-her-memories-edith-birkin-1927-2018-visualising-her-memories-from-auschwitz/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/51-cubist-max-weber-s-brooklyn-bridge-explained-artist-focus/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/143/bc91b33bb74c1d/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/76/artworks-1491-alfred-wolmark-sabbath-afternoon/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/298-ebenezer-challis/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/43-david-glasser-on-the-strategic-evolution-of-ben-ben-uri-chairman-david-glasser-discusses-the-evolution/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/236-george-grosz/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/160-becoming-virtual-history-part-1/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/32-bernard-meninsky/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/76-borders-artworks-by-helen-de-sybel/videos/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/40-interned-artists-ben-uri-and-the-80th-anniversary-of-internment/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/77-obscurity-in-the-ruth-borchard-portrait-collection-curated-by-rachel-schultz/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/51/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/19/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibition/private-views/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/30-rediscovering-wolmark-a-pioneer-of-british-modernism/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/208-you-re-joking-aren-t-you-by-rachel-garfield/,True,2024-07-16,2024-07-20,,True
https://benuri.org/publications/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/243-chana-kowalska/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/74-art-identity-migration-ben-uri-at-the-2023-london-art-fair/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/172/448e876f8df537/,True,2024-07-16,2024-07-20,,True
https://benuri.org/press/14-shaping-the-future-new-arrivals-from-chagall-to/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/730/image5241/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/categories/20/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/categories/11/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/65/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/33-jankel-adler/bibliography/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/79-a-brush-with-evil-peter-howson/events/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/8/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/41-shanti-panchal-a-personal-language-of-painting-2007-2018/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/114-ben-uri-centenary-the-film-july-15-ben-uri-today-talks-interviews-and-films-on/,True,2024-07-16,2024-07-20,,True
https://benuri.org/bloomberg-connects/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/165-alfred-wolmark/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/categories/9/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/categories/12/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/135-david-glasser-speaking-at-museum-next-conference-david-glasser-chair-of-ben-uri-gallery-and/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/172/image5602/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/46-midnight-s-family-70-years-of-indian-artists-in-britain/works/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/29-teacher-and-pupil-david-bomberg-and-frank-auerbach/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/31-david-bomberg/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/37-ways-into-art-overview-arts-and-health-films-on-the-ben-uri/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/308-feliks-topolski/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/33-jankel-adler/works/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/75-out-of-chaos-private-view-ben-uri-centenary-celebration-exhibition-openings-opening-nights-and-private-viewings-of/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/25-art-and-the-holocaust/works/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/63-british-museum-and-architectural-studies-becoming-gustav-metzger-uncovering-the-early-years-1945-59/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/351-adam-muszka/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/230-marc-chagall/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/303-zory-shahrokhi/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/38-yalta-1945-by-komar-melamid/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/press/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/36-finchleystrasse-german-artists-in-exile-in-great-britain-and/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/categories/25/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/46-midnight-s-family-70-years-of-indian-artists-in-britain/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/79-a-brush-with-evil-peter-howson/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/143/image_standalone2092/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/245-gregoire-michonze/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/164-becoming-virtual-the-future-part-5/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/143/50552c50703126/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/87-cosmopolis-the-impact-of-refugee-art-dealers-in-london/press/,True,2024-07-16,2024-07-20,,True
https://benuri.org/audioadventures/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/143/990ab6f18e3d81/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/484/image4755/,True,2024-07-16,2024-07-20,,True
https://benuri.org/accessibility-policy/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/44-frank-auerbach-works-from-the-ben-uri-collection/#main_content,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/28-yiddish-the-language-people-and-heritage-from-the-art-and-archives-of-the-ben/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/79-a-brush-with-evil-peter-howson/,True,2024-07-16,2024-07-20,,True
https://benuri.org/collections/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/319-leon-bakst/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/49-uproar-the-first-50-years-of-the-london-group/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/72-painting-with-an-accent-german-jewish-emigre-stories-in-cooperation-with-the-german-embassy-london/works/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/727/image5154/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/suzanne-perlman-painting-london-opening-exhibition/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/1959-vitaly-komar-and-alexander-melamid-big-bang/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/1470-jacob-epstein-bust-of-jacob-kramer-1921/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/33/works/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/426-rembrandt/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/730/image5228/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/alfred-cohen/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/83-alderney-the-holocaust-on-british-soil-artworks-by-piers-secunda/exhibitions/83-alderney-the-holocaust-on-british-soil-artworks-by-piers-secunda/press_release_text/,True,2024-07-16,2024-07-20,,True
